production_volume,production_cost,supplier_quality,delivery_delay,defect_rate,quality_score,maintenance_hours,downtime_percentage,downtime_pct_corrected,inventory_turnover,stockout_rate,worker_productivity,safety_incidents,energy_consumption,energy_efficiency,additive_process_time,additive_material_cost,defect_status,high_defect_flag,low_quality_flag,downtime_category,production_volume_category,energy_efficiency_category,stockout_category
429,"$17,398.27",95.85%,4,2.79,97.20%,20,6.05%,0.060%,3.25,5.43%,97.844%,4,4812.122,0.2148,3.61,$146.04,1,0,0,Low,Low,Low,Medium
754,"$11,994.49",89.31%,3,2.77,85.75%,21,6.06%,0.061%,9.62,1.36%,96.259%,1,3292.708,0.2079,8.43,$177.35,1,0,0,Low,Medium,Low,Low
158,"$5,818.48",83.37%,3,2.15,78.09%,11,6.07%,0.061%,2.06,1.39%,89.793%,4,3219.657,0.2691,1.26,$389.70,1,0,1,Low,High,Medium,Low
384,"$10,596.84",96.06%,0,2.63,83.91%,17,6.39%,0.064%,9.36,5.84%,83.149%,9,1887.095,0.1836,6.22,$237.52,1,0,0,Low,Low,Low,Medium
968,"$15,195.46",83.26%,0,0.92,90.23%,6,6.42%,0.064%,3.48,3.48%,90.536%,0,1798.878,0.1432,7.48,$121.39,1,0,0,Low,Low,Low,Medium
682,"$6,316.82",90.36%,4,3.00,66.27%,13,6.45%,0.065%,4.24,6.71%,80.390%,8,1842.729,0.3482,5.91,$199.99,1,0,1,Low,High,Medium,High
813,"$5,756.25",89.42%,1,3.73,61.79%,15,6.54%,0.065%,9.10,1.45%,90.602%,2,3179.200,0.2026,8.40,$283.77,1,1,1,Low,Medium,Low,Low
431,"$17,354.35",92.46%,2,4.96,74.53%,17,6.67%,0.067%,3.85,5.42%,94.433%,5,2247.453,0.4890,1.18,$325.09,1,1,1,Low,High,High,Medium
554,"$16,692.75",83.21%,5,3.85,79.38%,17,6.78%,0.068%,7.14,8.52%,93.306%,2,2889.691,0.1166,7.32,$273.67,1,1,1,Low,Medium,Low,High
662,"$7,482.50",98.43%,5,1.79,67.99%,19,6.78%,0.068%,7.85,9.85%,80.379%,8,2629.920,0.3438,7.12,$145.75,0,0,1,Low,Medium,Medium,High
120,"$19,114.88",82.99%,2,1.53,73.11%,18,6.91%,0.069%,6.86,5.80%,95.615%,8,2023.268,0.2059,7.20,$211.71,0,0,1,Low,Medium,Low,Medium
258,"$6,223.62",97.95%,3,2.79,70.19%,9,6.99%,0.070%,5.44,6.40%,86.636%,4,4988.070,0.2802,4.41,$266.17,1,0,1,Low,Low,Medium,High
317,"$14,812.62",86.10%,0,4.80,62.81%,19,7.10%,0.071%,2.96,3.37%,91.826%,0,4528.007,0.3071,4.39,$297.89,1,1,1,Low,Low,Medium,Medium
302,"$13,664.20",91.09%,1,4.06,95.76%,6,7.17%,0.072%,2.78,4.26%,88.489%,6,1534.792,0.2227,3.78,$203.77,0,1,0,Low,Low,Low,Medium
587,"$12,789.69",90.21%,4,4.03,85.75%,11,7.31%,0.073%,9.78,0.80%,97.005%,9,3311.454,0.2131,7.48,$404.57,0,1,0,Low,Low,Low,Low
230,"$17,385.66",88.33%,1,1.04,67.45%,21,7.42%,0.074%,5.86,6.51%,93.173%,3,4261.687,0.2493,3.93,$235.48,1,0,1,Low,Medium,Medium,High
476,"$6,582.11",81.65%,3,0.57,64.11%,9,7.46%,0.075%,5.95,8.78%,88.196%,4,1655.433,0.4316,1.37,$391.03,1,0,1,Low,Low,High,High
271,"$13,568.91",84.54%,3,3.68,88.98%,6,7.49%,0.075%,4.20,8.95%,95.381%,8,2675.874,0.1287,5.48,$382.83,1,1,0,Low,Medium,Low,High
808,"$14,729.58",85.89%,2,3.18,65.46%,13,7.58%,0.076%,9.27,9.93%,91.519%,7,2639.314,0.3419,4.97,$347.70,1,1,1,Low,Low,Medium,High
784,"$8,157.60",87.10%,4,3.93,83.89%,23,7.73%,0.077%,2.26,3.22%,96.026%,9,3356.284,0.1239,7.75,$368.48,1,1,0,Low,High,Low,Medium
641,"$16,705.48",85.39%,3,2.78,60.68%,2,7.79%,0.078%,7.23,1.77%,87.181%,7,1750.169,0.2507,3.15,$262.14,1,0,1,Low,High,Medium,Low
776,"$16,359.65",82.12%,3,4.36,62.24%,19,7.86%,0.079%,8.59,3.63%,97.583%,7,4350.852,0.1704,9.95,$472.55,1,1,1,Low,Medium,Low,Medium
670,"$7,523.05",96.09%,3,0.90,99.87%,8,8.35%,0.084%,6.70,2.75%,85.403%,8,3569.511,0.4151,3.91,$156.81,0,0,0,Low,High,High,Low
954,"$5,189.11",86.94%,4,1.28,82.97%,20,9.01%,0.090%,9.05,4.26%,91.052%,6,3928.699,0.3280,3.75,$113.83,1,0,0,Low,Medium,Medium,Medium
880,"$10,030.57",89.54%,2,1.26,96.43%,20,9.20%,0.092%,4.18,3.28%,88.988%,1,2809.866,0.1909,6.72,$250.35,1,0,0,Low,High,Low,Medium
706,"$15,385.31",84.92%,1,1.34,85.75%,20,9.31%,0.093%,2.80,1.58%,84.038%,9,3252.317,0.3800,5.73,$246.95,1,0,0,Low,High,High,Low
638,"$11,110.48",94.97%,3,1.84,89.14%,16,9.31%,0.093%,2.41,3.16%,87.136%,3,1712.613,0.4730,3.90,$235.31,1,0,0,Low,High,High,Medium
788,"$12,471.95",88.09%,2,3.90,93.20%,12,9.49%,0.095%,5.60,9.45%,95.147%,4,4187.475,0.3459,7.87,$150.53,1,1,0,Low,Medium,Medium,High
541,"$14,339.46",99.89%,4,2.99,72.71%,15,9.71%,0.097%,5.50,1.34%,84.982%,6,1886.246,0.1474,4.73,$137.16,1,0,1,Low,High,Low,Low
385,"$16,670.38",94.57%,1,3.01,74.25%,4,9.72%,0.097%,4.29,3.45%,91.265%,8,4584.667,0.1106,1.37,$461.42,1,1,1,Low,Medium,Low,Medium
209,"$6,857.69",99.59%,0,3.89,83.07%,10,9.88%,0.099%,3.15,6.69%,85.459%,1,4958.412,0.1779,7.02,$403.84,1,1,0,Low,Low,Low,High
799,"$19,371.10",92.97%,5,3.16,64.93%,10,9.90%,0.099%,8.57,2.62%,83.634%,6,1632.613,0.3326,7.70,$235.96,1,1,1,Low,Low,Medium,Low
325,"$7,466.08",84.82%,0,0.72,87.40%,10,9.99%,0.100%,4.40,4.38%,94.878%,2,2019.585,0.4855,6.09,$186.63,0,0,0,Low,High,High,Medium
355,"$5,287.17",81.97%,0,1.01,79.50%,13,10.12%,0.101%,4.97,6.71%,91.578%,1,3222.158,0.2976,6.13,$385.51,1,0,1,Low,Low,Medium,High
920,"$16,839.39",91.82%,2,4.46,78.28%,15,10.19%,0.102%,7.86,3.26%,89.561%,7,4969.675,0.3504,9.85,$260.32,1,1,1,Low,Low,Medium,Medium
564,"$16,068.92",82.53%,0,1.83,80.44%,18,10.22%,0.102%,2.91,1.76%,89.553%,9,1014.029,0.3161,4.55,$367.83,1,0,0,Low,High,Medium,Low
149,"$14,684.04",91.34%,1,1.17,61.57%,4,10.95%,0.110%,2.22,1.12%,87.270%,9,2781.176,0.2700,5.19,$145.62,1,0,1,Low,Medium,Medium,Low
700,"$6,394.86",99.69%,3,4.11,61.39%,12,10.99%,0.110%,6.55,0.20%,88.500%,3,3809.977,0.3035,5.86,$474.37,1,1,1,Low,Low,Medium,Low
102,"$10,940.01",80.62%,1,3.67,77.28%,22,11.11%,0.111%,7.70,0.10%,80.716%,2,1751.287,0.4593,9.43,$177.12,1,1,1,Low,High,High,Low
589,"$11,468.51",94.59%,1,3.22,81.99%,16,11.14%,0.111%,9.73,8.42%,87.610%,5,4728.675,0.1945,2.10,$202.18,1,1,0,Low,Low,Low,High
871,"$10,355.44",96.64%,3,3.01,74.18%,9,11.16%,0.112%,6.15,4.58%,96.570%,2,3034.230,0.3128,4.72,$335.68,1,1,1,Low,Medium,Medium,Medium
215,"$10,114.38",95.21%,5,3.93,99.73%,16,11.18%,0.112%,6.65,4.34%,81.894%,3,1047.987,0.2233,7.92,$426.96,1,1,0,Low,High,Low,Medium
210,"$16,756.40",84.31%,3,2.76,96.84%,23,11.85%,0.119%,3.56,8.49%,81.120%,7,2041.035,0.1375,7.87,$347.86,1,0,0,Low,Low,Low,High
741,"$5,646.50",82.11%,3,2.98,93.70%,2,11.99%,0.120%,5.04,0.93%,81.544%,6,2038.093,0.2977,9.46,$189.95,0,0,0,Low,Low,Medium,Low
201,"$16,965.98",95.63%,4,3.83,62.28%,17,12.70%,0.127%,5.40,7.63%,83.183%,2,1527.415,0.2933,5.07,$143.67,1,1,1,Low,High,Medium,High
490,"$12,658.71",80.07%,3,2.44,81.09%,14,12.72%,0.127%,5.28,6.49%,94.002%,5,2842.560,0.4072,7.37,$423.57,1,0,0,Low,Low,High,High
780,"$16,918.67",96.23%,1,3.45,78.77%,14,12.74%,0.127%,2.60,9.47%,94.800%,9,4513.551,0.1314,2.06,$181.68,1,1,1,Low,Medium,Low,High
531,"$16,750.81",88.79%,4,3.12,69.56%,22,12.85%,0.129%,6.54,6.92%,86.032%,8,1113.108,0.3058,2.64,$138.53,1,1,1,Low,High,Medium,High
795,"$5,022.11",90.80%,1,4.02,83.60%,20,12.95%,0.130%,9.97,10.00%,97.597%,4,1517.945,0.4506,5.23,$346.42,1,1,0,Low,Medium,High,High
370,"$17,597.03",92.86%,2,3.44,86.79%,19,12.96%,0.130%,7.72,2.37%,92.482%,7,2277.530,0.4053,3.58,$161.41,1,1,0,Low,High,High,Low
366,"$11,041.09",99.93%,0,2.98,74.99%,16,13.08%,0.131%,6.51,2.68%,95.160%,8,2851.004,0.2793,6.86,$486.38,1,0,1,Low,Low,Medium,Low
492,"$10,242.60",84.55%,4,3.77,77.17%,10,13.18%,0.132%,8.98,5.05%,89.306%,5,3636.742,0.1207,5.47,$154.28,1,1,1,Low,Low,Low,Medium
797,"$19,441.53",90.75%,1,2.54,90.74%,15,13.36%,0.134%,3.25,7.26%,93.358%,5,1704.190,0.4692,2.21,$169.45,1,0,0,Low,Medium,High,High
803,"$13,674.48",91.34%,4,2.29,81.85%,15,13.41%,0.134%,6.49,5.92%,80.955%,0,2196.252,0.1616,4.77,$382.46,1,0,0,Low,High,Low,Medium
435,"$16,025.38",81.75%,1,1.06,98.96%,5,14.11%,0.141%,3.11,9.97%,99.700%,9,1415.286,0.1139,4.01,$403.27,0,0,0,Low,High,Low,High
663,"$7,281.56",88.11%,4,4.07,98.62%,18,14.12%,0.141%,9.11,1.76%,90.194%,6,2959.405,0.2575,1.93,$458.38,1,1,0,Low,Medium,Medium,Low
963,"$10,896.56",95.42%,5,3.22,88.88%,17,14.24%,0.142%,4.00,2.50%,90.388%,1,1793.564,0.1298,1.59,$403.86,1,1,0,Low,Medium,Low,Low
315,"$8,335.42",95.33%,0,1.06,96.45%,22,14.53%,0.145%,9.51,0.77%,97.738%,5,1007.477,0.3872,5.40,$104.63,1,0,0,Low,High,High,Low
758,"$14,086.69",85.48%,2,2.79,68.18%,3,14.78%,0.148%,6.09,1.51%,99.875%,0,4033.328,0.1652,2.22,$327.22,1,0,1,Low,Low,Low,Low
295,"$5,132.95",85.36%,2,1.19,95.89%,22,14.91%,0.149%,8.59,3.38%,92.988%,0,1539.948,0.1222,5.27,$314.82,1,0,0,Low,High,Low,Medium
626,"$12,871.03",81.87%,1,2.92,64.57%,21,15.56%,0.156%,2.15,6.16%,88.251%,3,3241.648,0.3396,3.98,$173.74,1,0,1,Low,Low,Medium,High
315,"$8,397.82",98.60%,1,2.07,95.29%,1,15.69%,0.157%,7.60,0.22%,99.150%,2,3181.538,0.4327,1.62,$272.76,0,0,0,Low,Medium,High,Low
608,"$6,014.07",92.74%,0,0.75,75.82%,3,15.81%,0.158%,9.03,5.51%,93.424%,6,1902.750,0.3320,2.78,$391.43,0,0,1,Low,Low,Medium,Medium
863,"$15,060.98",93.54%,5,3.01,88.77%,14,16.15%,0.161%,6.56,5.75%,96.616%,3,2737.614,0.1189,3.80,$446.49,1,1,0,Low,Medium,Low,Medium
802,"$16,034.95",98.59%,5,4.68,62.89%,13,16.22%,0.162%,9.79,4.29%,94.412%,4,4088.048,0.3671,2.86,$134.33,1,1,1,Low,High,Medium,Medium
118,"$13,203.93",91.23%,5,4.58,85.87%,4,16.47%,0.165%,9.11,8.12%,86.169%,4,4203.591,0.3991,7.63,$284.03,1,1,0,Low,High,High,High
477,"$13,463.48",85.67%,1,1.21,97.93%,11,16.48%,0.165%,5.29,7.81%,95.417%,5,4607.249,0.2205,9.65,$383.92,1,0,0,Low,Low,Low,High
176,"$10,088.61",86.06%,2,3.21,79.62%,3,16.88%,0.169%,3.17,4.91%,81.219%,8,4959.472,0.1469,9.98,$104.10,1,1,1,Low,Medium,Low,Medium
180,"$10,268.29",86.80%,3,2.71,71.37%,9,16.94%,0.169%,3.83,5.54%,85.663%,0,3351.116,0.2797,7.12,$291.44,1,0,1,Low,Low,Medium,Medium
902,"$17,966.50",83.04%,5,1.60,97.49%,3,17.01%,0.170%,2.06,0.19%,86.381%,9,4672.074,0.3343,9.57,$190.46,1,0,0,Low,Low,Medium,Low
922,"$13,903.41",84.71%,3,4.57,68.15%,9,17.17%,0.172%,2.77,6.38%,91.100%,1,3048.587,0.2952,8.33,$458.85,1,1,1,Low,High,Medium,High
966,"$11,812.75",89.93%,5,3.08,91.41%,21,17.43%,0.174%,5.26,1.48%,97.972%,8,2260.884,0.4549,8.14,$435.05,1,1,0,Low,High,High,Low
435,"$7,352.19",88.16%,4,3.11,85.91%,23,17.47%,0.175%,6.55,9.12%,95.293%,8,2093.166,0.1143,9.97,$358.03,1,1,0,Low,High,Low,High
335,"$5,598.84",95.70%,4,0.75,95.56%,11,17.82%,0.178%,8.30,9.77%,87.781%,8,2761.302,0.1264,7.23,$245.52,0,0,0,Low,Medium,Low,High
929,"$10,763.10",93.52%,2,4.19,63.19%,17,17.92%,0.179%,7.67,3.28%,96.796%,9,3545.662,0.3619,3.19,$367.29,1,1,1,Low,Low,Medium,Medium
804,"$17,057.07",96.52%,5,4.92,80.03%,6,18.06%,0.181%,7.77,8.32%,83.700%,2,3959.447,0.3539,2.29,$179.15,1,1,0,Low,High,Medium,High
846,"$13,086.42",88.21%,0,4.32,89.22%,13,18.15%,0.181%,7.65,4.14%,89.525%,0,4926.463,0.3945,3.64,$303.62,1,1,0,Low,High,High,Medium
715,"$12,113.83",95.43%,1,1.57,91.44%,23,18.22%,0.182%,7.74,4.83%,93.243%,7,1884.478,0.2490,5.09,$279.49,1,0,0,Low,High,Medium,Medium
501,"$8,903.55",87.04%,2,2.90,97.27%,9,18.43%,0.184%,4.71,3.73%,84.345%,4,1747.235,0.2061,5.18,$259.85,0,0,0,Low,High,Low,Medium
769,"$16,355.72",98.70%,4,0.82,97.57%,11,18.61%,0.186%,9.22,4.37%,80.102%,3,3741.128,0.2026,2.71,$340.33,1,0,0,Low,Medium,Low,Medium
494,"$15,258.00",94.77%,1,1.34,96.71%,11,18.64%,0.186%,5.59,4.44%,89.711%,0,3995.034,0.1429,4.18,$347.67,1,0,0,Low,High,Low,Medium
294,"$18,644.40",95.04%,0,4.37,90.26%,2,19.49%,0.195%,2.87,6.93%,98.569%,5,1712.431,0.2384,3.92,$316.74,1,1,0,Low,Medium,Medium,High
422,"$14,177.47",84.03%,5,0.57,65.45%,16,19.60%,0.196%,8.29,4.38%,87.094%,4,2083.316,0.2986,3.67,$457.51,1,0,1,Low,Low,Medium,Medium
443,"$19,687.27",85.95%,1,1.48,95.36%,3,19.63%,0.196%,8.05,7.27%,87.873%,7,4665.108,0.2431,8.15,$330.98,0,0,0,Low,Medium,Medium,High
244,"$10,353.29",98.95%,2,4.88,73.71%,21,19.65%,0.196%,5.53,7.81%,93.539%,6,2673.619,0.1985,2.17,$208.23,1,1,1,Low,Medium,Low,High
576,"$19,636.68",83.38%,3,4.41,86.13%,17,19.79%,0.198%,7.80,5.79%,99.735%,7,4866.427,0.3527,2.91,$262.84,1,1,0,Low,Low,Medium,Medium
404,"$9,594.70",97.54%,0,3.99,82.76%,3,19.88%,0.199%,2.03,4.11%,94.033%,7,4455.011,0.4857,8.24,$488.49,1,1,0,Low,Medium,High,Medium
134,"$5,878.26",87.76%,0,4.60,66.45%,0,19.94%,0.199%,3.19,7.21%,93.054%,4,3148.603,0.1590,7.03,$278.62,1,1,1,Low,Medium,Low,High
990,"$9,867.68",82.58%,1,1.89,63.20%,23,20.20%,0.202%,4.46,7.16%,91.185%,3,2584.492,0.3433,6.71,$401.99,1,0,1,Low,Low,Medium,High
518,"$16,269.18",96.41%,2,3.82,74.03%,8,20.30%,0.203%,8.99,5.86%,94.061%,0,4180.384,0.4716,9.60,$444.61,1,1,1,Low,High,High,Medium
964,"$6,253.32",98.98%,0,1.00,70.93%,4,20.30%,0.203%,7.26,5.14%,86.548%,6,2674.449,0.2067,6.22,$295.32,1,0,1,Low,Medium,Low,Medium
445,"$7,623.22",94.73%,4,4.85,85.30%,11,20.44%,0.204%,2.92,0.49%,97.535%,5,4101.782,0.1304,9.15,$475.80,1,1,0,Low,High,Low,Low
991,"$13,372.57",80.57%,2,3.87,90.65%,20,20.54%,0.205%,6.76,3.44%,94.990%,3,1334.199,0.4360,1.86,$161.00,0,1,0,Low,Medium,High,Medium
419,"$11,510.31",96.49%,1,1.66,70.31%,1,20.75%,0.207%,5.26,3.35%,89.603%,5,1028.040,0.3136,5.54,$374.92,1,0,1,Low,High,Medium,Medium
955,"$5,386.54",81.04%,1,4.77,70.32%,14,20.77%,0.208%,4.92,9.01%,92.212%,8,4155.180,0.1763,3.74,$406.69,1,1,1,Low,Medium,Low,High
953,"$13,039.03",88.76%,3,3.21,95.56%,10,20.94%,0.209%,9.01,1.30%,85.410%,1,2849.919,0.4273,8.25,$263.03,1,1,0,Low,High,High,Low
977,"$13,476.28",96.96%,2,3.77,95.78%,15,21.18%,0.212%,8.37,0.76%,84.861%,5,1987.951,0.1120,2.92,$149.16,1,1,0,Low,High,Low,Low
863,"$11,444.85",94.85%,3,3.07,79.42%,3,21.22%,0.212%,5.15,3.05%,98.259%,7,2551.033,0.2076,7.01,$499.36,1,1,1,Low,High,Low,Medium
289,"$5,220.40",83.50%,1,4.78,74.20%,17,21.42%,0.214%,2.83,6.27%,80.087%,8,4482.568,0.4521,9.03,$441.12,1,1,1,Low,High,High,High
232,"$5,057.30",99.19%,1,1.12,75.77%,13,21.58%,0.216%,7.23,5.40%,90.714%,9,2064.011,0.4076,8.91,$460.45,1,0,1,Low,Low,High,Medium
246,"$7,726.68",98.37%,5,1.17,99.19%,23,21.85%,0.218%,9.05,5.83%,84.361%,0,4022.362,0.1458,7.18,$421.51,1,0,0,Low,Low,Low,Medium
708,"$19,257.97",82.12%,2,1.39,83.45%,19,21.86%,0.219%,3.53,8.25%,90.626%,1,2220.037,0.3130,8.74,$398.17,1,0,0,Low,Low,Medium,High
882,"$13,302.08",80.11%,2,3.77,68.22%,16,21.89%,0.219%,9.24,5.74%,95.143%,1,4869.086,0.4971,9.81,$431.45,1,1,1,Low,High,High,Medium
912,"$7,002.20",88.00%,3,4.31,60.54%,15,21.97%,0.220%,4.03,2.14%,97.347%,9,1939.854,0.2008,8.01,$148.26,1,1,1,Low,High,Low,Low
591,"$7,344.75",87.72%,5,3.16,61.57%,12,22.00%,0.220%,9.74,2.70%,91.520%,0,3670.892,0.4525,7.15,$373.67,1,1,1,Low,High,High,Low
504,"$5,998.47",85.01%,2,2.80,68.09%,15,22.23%,0.222%,8.10,8.03%,91.077%,1,2578.094,0.2431,9.21,$422.12,1,0,1,Low,Medium,Medium,High
638,"$10,407.12",87.10%,0,2.82,95.53%,5,22.24%,0.222%,7.48,0.59%,92.821%,5,1652.269,0.4772,1.93,$107.84,0,0,0,Low,Medium,High,Low
116,"$5,768.95",87.90%,4,2.70,88.25%,4,22.38%,0.224%,4.93,7.85%,89.219%,1,1607.046,0.4960,6.57,$487.77,1,0,0,Low,Medium,High,High
623,"$6,305.26",86.54%,0,3.52,78.55%,0,22.45%,0.224%,2.38,7.36%,80.892%,9,1119.026,0.3815,1.61,$232.17,1,1,1,Low,Low,High,High
134,"$9,268.12",84.55%,5,2.00,85.82%,0,22.55%,0.225%,8.96,2.13%,89.587%,5,1852.009,0.3177,5.94,$237.71,0,0,0,Low,Medium,Medium,Low
